Rank,School Rank,School,Team,Solved,Penalty,A,B,C,D,E,F,G,H,I,J,K,L,M,Dirt,Medal,Member1,Member2,Member3,Coach,Unofficial,Girl
99,,华南理工大学,The lost city,2,162,-,-,+1(11),-,-,-2,-,-2,-,-,+4(91),-1,-,60%,Honorable,王雅恒,黄烁韩,何嘉骅,Chuhua Xian(Coach),N,N
100,80,上海纽约大学,NYU Shanghai Team 3,2,163,-,-,+1(17),-,-,-,-,-,-,-,+2(126),-2,-,33%,Honorable,戴麟懿,PavelNikolaitchev,Artemii Mavlitov,Xianbin Gu(Coach),N,N
101,,东南大学,dreamchaser,2,170,-,-,+1(14),-,-,-,-,-3,-,-,+1(156),-2,-,0%,Honorable,魏思远,魏子何,覃业明,Vincent Chau(Coach),N,N
102,81,长沙理工大学,Impact of the Shanghai Master-hu ye chong ji,2,171,-1,-,+2(15),-,-,-,-,-,-,-,+4(76),-1,-,66%,Honorable,蔡灏东,彭烨青,刘振林,Zelin Deng(Coach),N,N
103,82,成都大学,Algorithm Nomads,2,172,-,-,+2(22),-,-,-,-,-1,-,-,+3(90),-,-,60%,Honorable,万名森,冉天祺,何永杰,Xiujun Zhang(Coach),N,N
103,82,杭州师范大学,Thousands of nights of flying sakuras and cats,2,172,-,-,+1(11),-,-,-,-,-,-,-,+3(121),-2,-,50%,Honorable,张卓,何敏璐,温从锭,Zhenyu Shan(Coach),N,N
105,84,香港科技大学广州,Man What Can AC,2,176,-,-,+1(17),-,-,-,-,-,-,-,+3(119),-1,-,50%,Honorable,钟嘉宸,熊恩汲,梁枫,Hui Xiong(Coach),N,N
106,,昆山杜克大学,yorozuya,2,185,-,-,+1(16),-,-,-,-,-4,-,-,+3(129),-12,-,50%,Honorable,孙厚旻,胡子,仲飞扬,Jiang Long(Coach),N,N
107,85,武汉工程大学,Push through hell and RISE,2,189,-1,-1,+1(22),-1,-1,-1,-1,-,-1,-1,+1(167),-,-,0%,Honorable,覃淼,林碧琪,李佳航,Dawei Wen(Coach),N,N
108,,西安交通大学,Nap Now,2,190,-,-,+2(18),-,-,-3,-,-1,-,-,+3(112),-,-,60%,Honorable,封鸿焱,姜宇骋,王君睿,Longxiang Wang(Coach),N,N
109,,安阳工学院,/give cup&cat minecraft:sticky_piston 1e6,2,195,-,-,+1(24),-,-,-,-,-5,-,-,+2(151),-,-,33%,Honorable,王超,陈瑾,刘池,Zhi Chen(Coach),N,N
110,86,广东技术师范大学,The most unreliable,2,198,-,-,+2(21),-,-,-,-,-,-,-,+2(137),-,-,50%,Honorable,曹谦,黄宇凡,谢合松,Lan Liu(Coach),N,N
111,,武汉理工大学,Teammates will AC and I will sleep,2,205,-,-,+1(32),-,-,-,-,-,-,-,+3(133),-,-,50%,Honorable,戚桂铨,罗韬,殷越,Dongdong Zhao(Coach),N,N
112,,广州城市理工学院,How to sort,2,213,-,-,+1(33),-,-,-,-,-,-,-,+3(140),-,-,50%,Honorable,荘铸,韦力,丘嘉文,Yudong Lin(Coach),N,N
113,87,香港理工大学,Dynamic Infinity,2,215,-,-,+2(36),-,-,-,-,-,-,-,+1(159),-,-,33%,Honorable,SunghakHeo,王钰淇,黄敬博,Bo Li(Coach),N,N
114,,香港理工大学,LoveLiBoPQ,2,242,-,-,+1(30),-,-,-,-,-,-,-,+2(192),-,-,33%,Honorable,高嘉玮,张畅羽,严章洋,Bo Li(Coach),N,N
115,,哈尔滨工程大学,No Segment Fault,2,287,-,-,+1(12),-,-,-,-,-,-,-,+6(175),-,-,71%,Honorable,廖浠言,张福森,陆学弘,Lin Guo(Coach),N,N
116,88,重庆城市科技学院,Meet The Dawn,2,290,-,-,+1(11),-,-,-40,-,-,-,-,+6(179),-,-,71%,Honorable,陈民君,董铮,刘英凯,Ye Yan(Coach),N,N
117,89,太原科技大学,a failure and his team of failures,2,307,-,-,+1(11),-,-,-,-,-,-,-,+4(236),-,-,60%,Honorable,丁健健,陈君睿,蔡鸿盛,Qian Guo(Coach),N,N
118,90,北京印刷学院,China Publishing University,2,313,-,-,+1(21),-,-,-,-,-,-,-,+5(212),-,-,66%,Honorable,蒋帆,李成蹊,陶慕尧,Changbo Xu(Coach),N,N
