Rank,School Rank,School,Team,Solved,Penalty,A,B,C,D,E,F,G,H,I,J,K,L,Dirt,Medal,Member1,Member2,Member3,Unofficial,Girl
133,81,中南民族大学,温柔换不了温柔,6,533,-,-5,+1(27),-,+4(121),+1(38),+1(52),-,-,+1(10),-,+3(185),45%,Bronze,陈柏林,项升辉,高俊杰,N,N
133,,山东大学,LCS,6,533,-,-1,+1(19),-,+1(136),+1(30),+1(53),-,-,+2(12),-,+2(243),25%,Bronze,刘向斌,褚瑞凡,邵宇辰,N,N
135,82,南开大学,打比赛时在做什么？有没有空？可以来打铁吗？,6,534,-,-,+1(28),-,+4(201),+2(26),+3(58),-,-,+1(9),-,+1(92),50%,Bronze,杜岱玮,王超星,陈静怡,N,N
136,,福州大学,我队友什么时候上紫捏,6,540,-,-5,+1(23),-,+2(85),+3(35),+3(80),-,-,+1(12),-,+1(205),45%,Bronze,傅安,李哲,黄腾,N,N
136,,南京大学,林间雨月,6,540,-,-13,+1(42),-,+4(234),+1(20),+1(29),-,-,+2(14),-,+1(121),40%,Bronze,林朗,胡皓明,邓振霄,N,N
138,,安徽大学,OVERDOSE,6,542,-1,-1,+1(25),-1,+4(220),+1(32),+1(61),-1,-1,+1(14),-1,+1(130),33%,Bronze,张云飞,陈子安,高远航,N,N
139,83,华北电力大学（北京）,ncepu_Xian_001,6,543,-,-,+1(20),-,+6(134),+1(33),+2(48),-,-,+1(10),-,+2(158),53%,Bronze,乔守蓬,张政势,李想,N,N
139,83,广西师范大学,涅槃重生,6,543,-1,-3,+1(19),-1,+1(162),+1(26),+1(72),-1,-1,+1(10),-1,+1(254),0%,Bronze,兰淞,石伟凡,钱浩栋,N,N
141,85,广东财经大学,弗拉明戈舞步,6,545,-,-2,+1(30),-,+1(199),+2(52),+1(102),-,-,+1(14),-,+1(128),14%,Bronze,何灏楠,刘恒利,蔡普凡,N,N
142,,杭州师范大学,幼稚未完,6,548,-,-2,+1(32),-,+2(235),+1(41),+1(67),-,-,+1(10),-,+1(143),14%,Bronze,严家俊,俞家豪,周杭安,N,N
143,86,广州城市理工学院,穿梭在银河的火箭队,6,557,-,-3,+1(54),-,+2(139),+1(48),+1(77),-,-,+1(15),-,+1(204),14%,Bronze,何镓乐,陈宏营,马文轩,N,N
143,86,浙江财经大学,赛博朋克：边缘银者,6,557,-,-2,+1(14),-,+3(239),+2(23),+2(60),-,-,+1(5),-,+2(116),45%,Bronze,张宏剑,张维康,徐宇诺,N,N
145,88,浙江理工大学,海超人大洋游侠和隐形船,6,558,-,-1,+1(26),-,+5(116),+2(35),+1(105),-,-,+2(18),-,+1(138),50%,Bronze,宁宇浩,王显龙,邱天,N,N
146,,浙江理工大学,飞飞,6,559,-,-,+1(23),-,+2(130),+2(37),+1(69),-,-,+1(16),-,+4(184),45%,Bronze,徐波,朱鑫鑫,薛淞尹,N,N
147,89,华中师范大学,为了梦想,6,565,-,-4,+1(7),-,+3(222),+1(20),+1(78),-,-,+1(14),-,+2(164),33%,Bronze,刘耀威,张国涛,杨泽坤,N,N
