Rank,School Rank,School,Team,Solved,Penalty,A,B,C,D,E,F,G,H,I,J,K,L,M,Dirt,Medal,Member1,Member2,Member3,Coach,Unofficial,Girl
72,48,南京航空航天大学,队长十年单身换区域赛金牌,6,1042,-,+3(47),-,-,+2(137),+1(93),-,-,+6(292),-1,+4(98),+2(135),-,66%,Silver,吕俊琪,胡昊天,赵乐坤,邹春然,N,N
73,,吉林大学,rand,6,1048,-,+1(28),-,-,+2(86),+2(159),-,-,-,+3(269),+5(136),+1(210),-,57%,Silver,剧若菲,王天泽,陈鹏旭,郭东伟,N,N
74,49,天津大学,因特,6,1053,-,+1(25),-,-,+1(76),+1(102),-,-,-1,+3(288),+6(194),+2(208),-,57%,Silver,庄瀚镕,蒋锐,安玺儒,赵满坤,N,N
75,50,福州大学,枯木逢春，老树开花,6,1092,-,+1(28),-,-,+2(142),+1(212),-,-,-,+1(298),+2(120),+1(252),-,25%,Silver,林东颖,傅安,陈宇,傅仰耿,N,N
76,,北京理工大学,秋秋粉丝团,6,1108,-,+1(58),-,-,+3(77),+1(99),-,-,-1,+5(292),+4(182),+1(220),-,60%,Silver,于瀚文,李坚辉,张程,史继筠,N,N
77,,哈尔滨工业大学（深圳）,潜水小怪,6,1192,-,+4(96),-,-,+3(78),+2(112),-,-,-1,+1(233),+11(211),+1(142),-,72%,Silver,梁彬,孙宇开,羊柯伍,刘圣鑫,N,N
78,51,江西师范大学,栞栞的白獭粉刷基地,6,1203,-1,+1(27),-1,-1,+1(75),+1(98),-1,-1,-1,+9(290),+3(197),+3(276),-1,66%,Silver,陈哲,张天福,颜玮琦,曾雪强,N,N
79,,南方科技大学,南方科技大学-赫尔辛基,6,1209,-,+1(14),-,-,+2(58),+1(178),-,-1,-,+3(283),+8(262),+1(214),-,62%,Silver,冯照航,何俞均,洪朝阳,唐博,N,N
80,,中国科学技术大学,USTC摸鱼队,5,344,-,+1(21),-1,-,+2(66),+1(71),-,-,-1,-,+1(132),+1(34),-,16%,Silver,温家睿,林度,陈凌峰,李春生,N,N
81,52,浙江师范大学,ZJNU_遵纪守法,5,372,-,+1(11),-1,-,+1(27),+1(50),-,-,-1,-2,+2(101),+1(163),-,16%,Silver,吴铮,陈增豪,陈骏鹏,邱晟,N,N
82,,东北大学,东北大学_天狐座,5,375,-,+2(25),-,-,+1(42),+1(62),-,-,-2,-3,+2(85),+1(121),-,28%,Silver,陈少皇,苏焜,徐越昊,刘小锋,N,N
83,53,华中师范大学,明明如月,5,391,-,+1(14),-,-,+1(45),+1(67),-,-,-,-10,+1(104),+2(141),-,16%,Silver,郭子寒,钟鸣,曹俞欣,叶俊民,N,N
84,,华中科技大学,凡性的提醒,5,392,-,+1(24),-,-,+1(56),+1(96),-,-,-,-5,+2(68),+1(128),-,16%,Silver,汪文卓,金城根,杨治,何琨,N,N
85,54,上海大学,SHU-10,5,393,-,+1(15),-,-3,+1(47),+1(54),-,-,-,-12,+1(106),+1(171),-,0%,Bronze,陶钧,周子竣,潘铧超,沈俊,N,N
86,,电子科技大学,UESTC_腾讯没给钱所以队名就叫原神之星吧,5,395,-,+1(18),-,-,+1(40),+1(96),-,-,-,-10,+1(75),+1(166),-,0%,Bronze,李林泽,李尚融,程智涛,吴磊,N,N
87,,华东师范大学,与夏之花,5,446,-,+1(23),-,-,+1(40),+1(59),-,-,-,-8,+1(216),+1(108),-,0%,Bronze,谢书骁,谈笑枫,程籽实,肖春芸,N,N
88,,杭州电子科技大学,原粥铁律,5,449,-,+1(21),-,-,+2(37),+2(117),-,-,-6,-4,+1(66),+2(148),-,37%,Bronze,潘思成,姜正,陈载元,刘春英,N,N
89,55,四川大学,树上莫队,5,450,-,+1(25),-,-,+1(49),+1(121),-,-,-,-11,+1(89),+1(166),-,0%,Bronze,黄云垄,顾曦骏,朱奕杰,左劼,N,N
90,,浙江大学,Untitled story,5,452,-,+1(8),-,-,+1(39),+1(53),-,-,-4,-7,+5(111),+2(141),-,50%,Bronze,凌子恒,樊睿,周轩熠,王灿,N,N
